Code,council,year_of_income,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%),
23110,Hobsons Bay City Council,2020,"50,772",39,"3,784.4","62,143","74,537",80.4,"7,029",42,178.3,"11,361","25,371",6.4,"37,860",43,320.1,145,"8,455",11.4,"1,061",59,33.3,"21,099","31,379",1.1,"54,215",41,"4,077.9","60,480","75,218",4.79,1.86,0.39,0.19,0.451,7.1,19.4,30.5,21.2,22.1,25.1,31.5,"4,140",192.7,"2,483","46,552",5,219,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23190,Horsham Rural City Council,2020,"10,303",40,544.0,"48,516","52,803",73.0,"2,388",53,96.8,"16,033","40,539",10.7,"8,552",49,79.1,283,"9,247",15.1,206,58,3.6,"9,173","17,512",0.7,"12,076",45,706.7,"49,572","58,520",4.80,1.77,0.37,0.14,0.443,6.2,18.6,29.4,26.0,26.6,27.5,20.0,"1,072",39.2,"1,904","36,607",-,51,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23270,Hume City Council,2020,"110,521",36,"6,322.9","51,202","57,210",81.6,"18,353",37,340.1,"13,170","18,529",9.1,"68,645",39,331.2,36,"4,825",7.8,"2,042",55,52.0,"14,050","25,443",1.0,"119,544",38,"6,782.2","49,410","56,734",4.17,1.73,0.41,0.20,0.413,5.2,16.4,27.1,24.8,28.3,28.2,18.7,"4,389",139.1,"2,477","31,694",7,304,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23350,Indigo Shire Council,2020,"8,566",45,491.0,"52,000","57,322",73.0,"2,420",54,26.5,"3,897","10,954",9.7,"7,019",52,52.8,220,"7,526",14.5,360,59,12.1,"25,369","33,665",2.2,"10,102",49,558.7,"48,510","55,305",5.18,1.80,0.35,0.11,0.452,5.6,17.2,28.1,27.2,26.4,26.8,19.6,835,18.3,"2,586","21,969",12,99,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
43360,Kingston City Council,2020,"1,058",42,47.6,"40,322","44,946",60.7,466,56,23.1,"25,000","49,576",21.2,933,57,10.4,671,"11,095",16.5,31,59,0.8,"13,784","25,500",1.5,"1,352",51,79.4,"45,746","58,702",5.04,1.93,0.38,0.14,0.514,6.8,22.1,33.8,28.7,27.6,23.2,20.5,120,7.7,"1,253","64,580",-,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23670,Knox City Council,2020,"88,531",40,"5,603.3","55,096","63,292",79.9,"11,611",44,262.0,"11,909","22,563",6.2,"69,741",44,362.4,118,"5,196",12.1,"1,737",60,46.6,"17,268","26,828",1.1,"97,645",43,"5,989.5","52,301","61,339",4.60,1.78,0.39,0.16,0.431,5.7,17.3,28.2,24.2,25.8,27.1,22.9,"7,129",185.2,"2,200","25,973",15,404,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
63810,Latrobe City Council,2020,"5,774",42,323.2,"49,580","55,972",77.6,"1,082",53,17.2,"7,645","15,904",8.1,"4,117",51,35.7,141,"8,679",11.2,251,62,6.5,"22,168","25,844",2.5,"6,513",47,371.1,"48,301","56,978",4.65,1.77,0.38,0.15,0.453,8.5,19.7,30.0,26.3,28.2,27.0,18.5,450,14.1,"3,897","31,230",-,99,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23940,Loddon Shire Council,2020,"2,890",44,136.6,"42,408","47,279",60.7,"1,395",56,44.0,"19,201","31,520",21.2,"2,680",54,17.9,398,"6,672",15.7,117,57,3.1,"10,000","26,419",1.9,"3,897",51,194.2,"41,106","49,841",6.46,1.84,0.29,0.07,0.513,7.8,21.6,33.2,33.4,27.5,24.6,14.6,319,11.1,"2,648","34,772",-,40,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24130,Macedon Ranges Shire Council,2020,"25,812",43,"1,851.3","58,106","71,721",73.8,"5,199",49,91.8,"8,151","17,653",8.2,"21,238",48,254.7,188,"11,993",15.8,758,60,27.0,"25,892","35,559",1.5,"29,787",46,"2,122.2","54,922","71,247",5.30,1.96,0.37,0.16,0.480,8.1,20.8,32.3,24.0,23.9,23.2,28.9,"2,464",133.8,"3,968","54,317",5,134,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24210,Manningham City Council,2020,"61,224",41,"4,257.9","53,142","69,547",66.9,"10,497",47,291.4,"12,748","27,762",7.0,"61,765",48,941.8,691,"15,248",24.0,"1,422",67,45.4,"24,201","31,953",1.2,"76,788",46,"5,309.0","48,090","69,138",6.66,2.16,0.32,0.12,0.529,10.0,24.3,36.4,29.5,23.6,20.5,26.4,"8,808",378.8,"3,198","43,010",4,214,112,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
